grid,rho0,n_agents,seed,force_scheme,agent_radius,agent_mass,v0_max,steps_recorded,final_step,total_raw_contact_detections,total_unique_contact_events,peak_active_contacts,peak_max_rho,peak_max_u,minimum_rho_safety_margin,minimum_velocity_safety_margin,first_raw_contact_step,first_unique_contact_step,mean_agent_speed_over_time,peak_agent_speed_mean_field
100x100x100,1.0,30,113,nearest,5.0,25.0,0.2,100,99,6.0,6.0,1.0,1.0140348319139785,0.047989506515856,18.98596516808602,1.052010493484144,5.0,5.0,0.25190549642898413,0.2523219640582854
100x100x100,1.0,30,114,nearest,5.0,25.0,0.2,100,99,6.0,6.0,1.0,1.0153408528652967,0.0469998959905696,18.984659147134703,1.0530001040094306,25.0,25.0,0.2519688636011617,0.2523215582271036
100x100x100,1.0,30,115,nearest,5.0,25.0,0.2,100,99,3.0,3.0,1.0,1.01569526531204,0.0455365083497476,18.98430473468796,1.0544634916502524,13.0,13.0,0.25195759317656274,0.2523177214546256
100x100x100,1.0,30,116,nearest,5.0,25.0,0.2,100,99,2.0,2.0,1.0,1.0146897281637968,0.048677888396248,18.9853102718362,1.051322111603752,6.0,6.0,0.2519497355616235,0.2523211985897373
100x100x100,1.0,30,117,nearest,5.0,25.0,0.2,100,99,11.0,5.0,2.0,1.015300603970806,0.0485394690245988,18.984699396029193,1.0514605309754013,7.0,7.0,0.2519134531410663,0.2523225969049026
100x100x100,1.0,30,118,nearest,5.0,25.0,0.2,100,99,4.0,4.0,1.0,1.0152769085912976,0.0447532045541534,18.984723091408704,1.0552467954458467,12.0,12.0,0.25200261581557926,0.2523176277939313
100x100x100,1.0,30,119,nearest,5.0,25.0,0.2,100,99,3.0,3.0,1.0,1.0138065121168498,0.0486081749165452,18.98619348788315,1.0513918250834549,2.0,2.0,0.25194497211019184,0.2523208329788299
100x100x100,1.0,30,120,nearest,5.0,25.0,0.2,100,99,8.0,8.0,1.0,1.0129474602628972,0.0431446662747177,18.987052539737103,1.0568553337252824,8.0,8.0,0.2519629621262786,0.2523208693764307
100x100x100,1.0,30,121,nearest,5.0,25.0,0.2,100,99,5.0,5.0,1.0,1.0134251854995138,0.0439530626546487,18.986574814500486,1.0560469373453514,14.0,14.0,0.25200651912473715,0.2523211276694725
100x100x100,1.0,30,122,nearest,5.0,25.0,0.2,100,99,6.0,6.0,2.0,1.0143476322676808,0.043204804725033,18.98565236773232,1.056795195274967,4.0,4.0,0.25194288714784274,0.2523225276501804
100x100x100,1.0,30,123,nearest,5.0,25.0,0.2,100,99,6.0,6.0,1.0,1.0153080633072555,0.0454305997685626,18.984691936692744,1.0545694002314374,3.0,3.0,0.25187268445171257,0.2523175589944469
100x100x100,1.0,30,124,nearest,5.0,25.0,0.2,100,99,4.0,4.0,1.0,1.0117186555639557,0.0422863382431943,18.988281344436043,1.0577136617568057,15.0,15.0,0.25200934027780736,0.2523210179212147
100x100x100,1.0,30,125,nearest,5.0,25.0,0.2,100,99,16.0,9.0,1.0,1.0146651196553609,0.0456514921107224,18.985334880344638,1.0543485078892776,16.0,16.0,0.2518495266382309,0.2523247285188053
100x100x100,1.0,30,126,nearest,5.0,25.0,0.2,100,99,8.0,8.0,2.0,1.0124004699912232,0.0427437942095306,18.987599530008776,1.0572562057904695,26.0,26.0,0.25191161883581814,0.252321750543153
100x100x100,1.0,30,127,nearest,5.0,25.0,0.2,100,99,5.0,5.0,1.0,1.0156814198991555,0.0461593941242763,18.984318580100844,1.0538406058757237,4.0,4.0,0.2518913534233375,0.252322417799356
100x100x100,1.0,30,128,nearest,5.0,25.0,0.2,100,99,3.0,3.0,1.0,1.013750456102472,0.0475212817486534,18.98624954389753,1.0524787182513466,36.0,36.0,0.2519532490451648,0.2523207118690664
100x100x100,1.0,30,129,nearest,5.0,25.0,0.2,100,99,7.0,7.0,2.0,1.0135573057639409,0.0459055364637161,18.98644269423606,1.0540944635362839,10.0,10.0,0.2519981134798554,0.2523197690227018
100x100x100,1.0,30,130,nearest,5.0,25.0,0.2,100,99,7.0,7.0,1.0,1.016796322736398,0.0495346101684196,18.983203677263603,1.0504653898315806,5.0,5.0,0.25184106684046925,0.2523224516551667
100x100x100,1.0,30,131,nearest,5.0,25.0,0.2,100,99,5.0,5.0,1.0,1.014251545879633,0.0472292818725162,18.985748454120365,1.052770718127484,3.0,3.0,0.25191865458763607,0.2523231328583119
100x100x100,1.0,30,132,nearest,5.0,25.0,0.2,100,99,7.0,7.0,2.0,1.0126465426541078,0.0439638086691548,18.987353457345893,1.0560361913308454,5.0,5.0,0.2517881764630796,0.2523181431377888
100x100x100,1.0,30,133,nearest,5.0,25.0,0.2,100,99,14.0,8.0,1.0,1.014862054689958,0.0461346677621127,18.985137945310044,1.0538653322378875,6.0,6.0,0.2518787892570834,0.2523227761939973
100x100x100,1.0,30,134,nearest,5.0,25.0,0.2,100,99,7.0,7.0,1.0,1.0139343408599526,0.049195907184757,18.986065659140046,1.0508040928152431,2.0,2.0,0.2519440602247678,0.2523197592964085
100x100x100,1.0,30,135,nearest,5.0,25.0,0.2,100,99,3.0,3.0,1.0,1.0118411721758274,0.0393131377288852,18.988158827824172,1.060686862271115,32.0,32.0,0.2520844637087353,0.2523217959468629
100x100x100,1.0,30,136,nearest,5.0,25.0,0.2,100,99,3.0,3.0,1.0,1.0141589318636346,0.0449452090746482,18.985841068136367,1.0550547909253518,33.0,33.0,0.25195750159697716,0.2523230265552455
100x100x100,1.0,30,137,nearest,5.0,25.0,0.2,100,99,6.0,6.0,1.0,1.0156745824831923,0.046631298641542,18.984325417516807,1.053368701358458,16.0,16.0,0.2518806283566412,0.2523240425402507
100x100x100,1.0,30,138,nearest,5.0,25.0,0.2,100,99,1.0,1.0,1.0,1.0154585264104714,0.0481321481688901,18.98454147358953,1.05186785183111,91.0,91.0,0.2519350829921015,0.2523236140846321
100x100x100,1.0,30,139,nearest,5.0,25.0,0.2,100,99,7.0,7.0,2.0,1.014786298883149,0.0466829305742537,18.98521370111685,1.0533170694257463,17.0,17.0,0.2519300583016218,0.252322656925593
100x100x100,1.0,30,140,nearest,5.0,25.0,0.2,100,99,3.0,3.0,1.0,1.0149197449216605,0.0483242033112571,18.98508025507834,1.051675796688743,7.0,7.0,0.2519365993975189,0.2523188181071072
100x100x100,1.0,30,141,nearest,5.0,25.0,0.2,100,99,3.0,3.0,1.0,1.0159053173592705,0.0497527908373945,18.98409468264073,1.0502472091626056,42.0,42.0,0.2519390915687232,0.252322762386389
