nx,ny,nz,rho0,n_agents,steps_requested,steps_completed,seed,force_scheme,stable,stop_reason,raw_contact_detections,unique_contact_events,final_active_contacts,max_rho_observed,max_u_observed,grid,steps,agent_radius,agent_mass,v0_max,rho_threshold,max_vel,tau_bgk,condition_dir,grid_volume,grid_side
100,100,100,1.0,30,100,100,136,nearest,True,completed,3,3,0,1.0141589318636346,0.0449452090746482,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,137,nearest,True,completed,6,6,0,1.0156745824831923,0.046631298641542,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,138,nearest,True,completed,1,1,0,1.0154585264104714,0.0481321481688901,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,139,nearest,True,completed,7,7,0,1.014786298883149,0.0466829305742537,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,140,nearest,True,completed,3,3,0,1.0149197449216605,0.0483242033112571,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,141,nearest,True,completed,3,3,0,1.0159053173592705,0.0497527908373945,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,40,100,100,42,nearest,True,completed,9,9,0,1.013583935616559,0.045714305736968,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_40,1000000,100
100,100,100,1.0,40,100,100,43,nearest,True,completed,8,8,0,1.0148421378167929,0.0484327089984866,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_40,1000000,100
100,100,100,1.0,40,100,100,44,nearest,True,completed,27,8,1,1.011418307926896,0.043384259234331,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_40,1000000,100
100,100,100,1.0,40,100,100,45,nearest,True,completed,16,13,0,1.015661770871328,0.0480749222780092,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_40,1000000,100
100,100,100,1.0,40,100,100,46,nearest,True,completed,16,16,0,1.0165626311291218,0.0480328042016249,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_40,1000000,100
100,100,100,1.0,40,100,100,47,nearest,True,completed,12,12,0,1.0172153153860604,0.0492913907889148,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_40,1000000,100
100,100,100,1.0,40,100,100,48,nearest,True,completed,17,17,0,1.014788904631721,0.0449596385288015,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_40,1000000,100
100,100,100,1.0,40,100,100,49,nearest,True,completed,7,7,0,1.0136738048624665,0.0459757572895548,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_40,1000000,100
100,100,100,1.0,40,100,100,50,nearest,True,completed,15,15,0,1.0130432910201597,0.0414068097760107,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_40,1000000,100
100,100,100,1.0,40,100,100,51,nearest,True,completed,7,7,0,1.016173667469316,0.0481251159358888,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_40,1000000,100
100,100,100,1.0,40,100,100,52,nearest,True,completed,12,12,0,1.0138211604792418,0.0441262339603579,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_40,1000000,100
100,100,100,1.0,40,100,100,53,nearest,True,completed,7,7,0,1.015339383587111,0.0468584136835165,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_40,1000000,100
100,100,100,1.0,40,100,100,54,nearest,True,completed,17,17,0,1.0152802957296605,0.046914877094187,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_40,1000000,100
